,question,retrieved_contexts,reference,reference_contexts
0,¿Quién es Joaquín Sabina?,"[""Primera mitad de septiembre: Jornadas 'Sabina por aquí', conciertos, exposiciones, talleres o cursos impartidos por la UNED, conforman la programación de las Jornadas 'Sabina por aquí', que tratan de homenajear cada año al ilustre cantante, poeta y músico ubetense Joaquín Sabina, incluyendo un original concurso para jóvenes artistas, celebrándose en la iglesia de San Lorenzo, como centro cultural de una extraordinaria riqueza patrimonial."", 'Biografía Primeros años Joaquín Sabina nació el 12 de febrero de 1949 en el municipio de Úbeda (Jaén, España), segundo hijo de Adela Sabina del Campo, ama de casa y de Jerónimo Martínez Gallego, inspector de policía.\u200b Cursó sus estudios primarios con las monjas carmelitas y con catorce años comenzó a escribir poemas y a componer música en una banda formada con sus amigos llamada Merry Youngs, que se dedicaban sobre todo a versionar a cantantes de rock como Elvis Presley, Chuck Berry o Little Richard.\u200b Por esa época, tuvo a su primera novia, Virtudes Antero «Chispa», que le sirvió como inspiración para crear algunos poemas de amor.', 'El escándalo fue mayor cuando se conoció una carta que el mismo Joaquín Sabina le había escrito a Fito Páez en forma de poesía, donde resumía los motivos que determinaron el final de su relación laboral: «El rol del patito feo, no me va te lo aseguro, y menos el de hombre duro, que a ti te cuesta tan poco» recitaba Joaquín en la mencionada carta.\u200b Joaquín hizo una gira en solitario por teatros llamada Sabina, viuda e hijos en paños menores, de importante éxito y que destacó por la gran duración de los recitales, que llegaban a las tres horas.', 'Esto los llevaría a fortalecer una amistad antigua que Sabina transcribió en las Coplas a María Dolores Pradera que le dedicó en la presentación de Canciones del alma, que grabó Pradera en 2003.\u200b Discografía oficial Inventario (1978) Malas compañías (1980) La mandrágora (1981), con Alberto Pérez y Javier Krahe Ruleta rusa (1984) Juez y parte (1985), con Viceversa Joaquín Sabina y Viceversa en directo (1986), con Viceversa Hotel, dulce hotel (1987) El hombre del traje gris (1988) Mentiras piadosas (1990) Física y química (1992) Esta boca es mía (1994) Yo, mi, me, contigo (1996) Enemigos íntimos (1998), con Fito Páez 19 días y 500 noches (1999) Nos sobran los motivos (2000) Dímelo en la calle (2002) Alivio de luto (2005) Dos pájaros de un tiro (2007), con Joan Manuel Serrat Vinagre y rosas (2009) La orquesta del Titanic (2012), con Joan Manuel Serrat En el Luna Park (2012), con Joan Manuel Serrat 500 noches para una crisis (2015) Lo niego todo (2017) Lo niego todo en directo (2018) Obra literaria Cancioneros Memoria del exilio (Londres: Nueva Voz, 1976), libreto de canciones publicado durante su exilio De lo cantado y sus márgenes (Granada: Diputación de Granada, 1986), letras de su disco Inventario El hombre del traje gris (Madrid: Ripio, 1989), partituras Con buena letra (Barcelona: Temas de Hoy, 2002; ampliado en 2005 y 2010), recopilación de letras Poemarios Ciento volando de catorce (Madrid: Visor, 2001), sonetos Esta boca es mía (Barcelona: Ediciones B, 2005), versos satíricos publicados en el semanario Interviú Esta boca sigue siendo mía (Barcelona: Ediciones B, 2007), versos satíricos publicados en el semanario Interviú El grito en el suelo (Madrid: Visor, 2012), poemas editados en el diario Público Muy personal (Barcelona: Planeta, 2013), dibujos, poemas empezados y letras de canciones inacabadas Garagatos (Barcelona: Artika, 2016), cuaderno de artista que incluye un libro de arte, el libro Garagatos y un desplegable de casi tres metros de largo En román paladino (Úbeda: Juancaballos de Poesía, 2018), versos publicados en la revista mensual tintaLibre Correspondencia A vuelta de correo (Madrid: Visor, 2007), epistolario con personalidades como el subcomandante Marcos o Fito Páez, entre otros Premios y distinciones Medalla de Plata de Andalucía (1988)\u200b Premio Ondas al mejor artista español (1999)\u200b Premio Ondas a la mejor canción por «19 días y 500 noches» (2000)\u200b Medalla de Oro al mérito en las Bellas Artes (2000)\u200b Nominación al Premio Goya a la mejor canción original (2002)\u200b Nominación al Premio Goya a la mejor canción original (2005)\u200b Medalla de Oro de la Ciudad de Madrid (2009)\u200b Hijo Predilecto de Andalucía (2016)\u200b\u200b Hijo Predilecto y Medalla de Oro de Úbeda (2017)\u200b Premio Ondas a la trayectoria musical (2020)\u200b Premio Grammy Latino a la Excelencia Musical (2021)\u200b Premio Ciudad de Alcalá de las Artes y las Letras (2022)\u200b Premio Goya a la mejor canción por «Sintiéndolo mucho» (2023) Notas', 'Sumaríamos a la lista a Antonio Saura -como Goñi, conquense de adopción-, quien, desde estética diversa, resucita el mismo fondo perenne y arquetípico de España. Goñi es artista plenamente español. Confiesa su hija Inés: ""Tras largos años de residencia en el extranjero me doy cuenta de que la obra de mi padre es profundamente española, que posee ese ""sentimiento trágico"" que no se halla en ningún otro país"". Premios y exposiciones Exposiciones individuales 1962.- Galería Afrodisio Aguado.']","Joaquín Sabina es un cantautor y poeta de Úbeda, Jaén. Es conocido por algunas de sus canciones más famosas como '19 Días y 500 Noches', o 'Y nos dieron las diez'.","Joaquín Ramón Martínez Sabina (Úbeda, 12 de febrero de 1949), conocido como Joaquín Sabina, es un cantautor, poeta y pintor español​. Ha publicado diecisiete discos de estudio y siete en directo, y ha colaborado con distintos artistas cantando dúos y realizando otras colaboraciones."
1,¿Cuando nació Juan Eslava Galán?,"['Juan Eslava Galán (Arjona, Jaén, 7 de marzo de 1948) es un escritor español del género histórico, tanto de ficción como de no ficción. Saltó a la popularidad con la obtención del Premio Planeta en 1987. Ha publicado algunas novelas bajo el pseudónimo de Nicholas Wilcox. Biografía Hijo de olivareros, estudió en los colegios de Arjona hasta que, al cumplir los diez años, su familia se trasladó a Jaén, donde prosiguió el bachillerato.', 'Aparición Un pastor de Colomera (Granada), llamado Daniel Lucia Cano, apacentaba su ganado, cabras y ovejas, en las alturas de Sierra Morena junto a la cumbre del Cabezo. Era cristiano sencillo y fervoroso, quizá algo entrado en años y estaba aquejado de una anquilosis o paralización total en el brazo izquierdo. Empezaron a llamar su atención las luminarias que divisaba por las noches sobre el monte cercano a donde tenía su hato y a las que se sumaba el tañido de una campana.', 'Rafael Romero Romero apodado El Gallina, (Andújar, Jaén, 9 de octubre de 1910-Madrid, 4 de enero de 1991) fue un cantaor español de flamenco. Aportación al flamenco Criado en una familia gitana donde se cantaba, aprendió de chico los cantes de Yllanda y de la Sierra. Su aprendizaje, combinado a una voz aguda y particularmente ruda, hicieron de Rafael el Gallina un cantaor apreciado en recitales y tablaos de la posguerra.', 'Las primeras noticias que se tienen de él son como «sacristán y maestro de capilla» en la Colegiata del Salvador de Granada.\u200b A Garzón se le dio una plaza de acólito en la Colegiata el 16 de noviembre de 1537 en sustitución de Pedro Bravo. De él escribía el sacristán Luis Gutiérrez que las «liçions que me ha dado de canto de órgano y porque de aquí adelante me dé las que él quisiere».', 'Manuel Aranda Espejo (Monte Lope Álvarez, Jaén, 22 de marzo de 1916-ibídem, 8 de agosto de 1936) fue un seminarista español, víctima de la persecución religiosa durante la Guerra Civil Española, que fue fusilado en un olivar cercano a su pueblo natal. El 13 de octubre de 2013 fue beatificado en Tarragona. Biografía Seminarista En septiembre de 1931 entró en el Seminario de Baeza, donde realizó dos años de Humanidades, tras lo cual se traslada al Seminario de Jaén a preparse los estudios de Filosofía.']","Juan Eslava Galán nació el 7 de marzo de 1948 en Arjona, Jaén.","Juan Eslava Galán (Arjona, Jaén, 7 de marzo de 1948) es un escritor español del género histórico, tanto de ficción como de no ficción. Saltó a la popularidad con la obtención del Premio Planeta en 1987. Ha publicado algunas novelas bajo el pseudónimo de Nicholas Wilcox. Biografía Hijo de olivareros, estudió en los colegios de Arjona hasta que, al cumplir los diez años, su familia se trasladó a Jaén, donde prosiguió el bachillerato."
2,¿Cuál es la formación de Maite Martín Valdivia?,"['Juan Pascual Valdivia y Valenzuela (Alcalá la Real, c. 1737 - Olivares, 12 de marzo de 1811) fue un compositor y maestro de capilla español.\u200b Vida Juan Pascual Valdivia y Valenzuela nació en Alcalá la Real, en la provincia de Jaén, hijo de Gregorio Valenzuela y Valdivia y Ana Valdivia, hacia 1735 o 1737.\u200b La fecha de su nacimiento se calcula por su ordenación de sacerdote en 1762. En ese momento la edad mínima para ordenarse era de 25 años, por lo que debió nacer hacia 1737 o poco antes.', 'Puso en marcha en España el Pi Day. Creó el programa steMatEsElla, patrocinado por Accenture, para potenciar el talento de las jóvenes en disciplinas STEM. Colaboró en la puesta en marcha del nodo andaluz de AMIT, que fue premio Meridiana 2012. Cuenta con diversos reconocimientos y premios. Docencia Ha impartido clases en la licenciatura, el grado, el máster y el doctorado en Matemáticas, así como en Ingeniería Química en España, y cursos de máster y doctorado en Panamá y Senegal.', 'Dionisio Jordán Infante. (Valdepeñas de Jaén, 29 de julio de 1887 – Alicante,1963). Pintor y profesor, natural de Valdepeñas de Jaén. Formado en Madrid con Emilio Sala. Desde 1917 profesor de Dibujo en las Escuelas Normales de Alicante, lugar al que estuvo vinculado hasta su muerte.\u200b Biografía Nacido en Valdepeñas de Jaén el 29 de julio de 1887. Hijo de José Jordán Cobo, natural de Valdepeñas de Jaén y de Dionisia Infante Marcos, natural de Valdemoro, Madrid.', 'El ejemplo de sus maestros inculcó en su vida un profundo sentido sacerdotal y humano. Siempre que podía iba a Valdepeñas, al encuentro de su familia, sus amigos de la infancia y su campo. De esa relación profunda con Valdepeñas nació la iniciativa del entonces alcalde de Valdepeñas, Antonio Luna Ruiz, de sufragar una beca para estudiantes que se preparaban para el sacerdocio, beca de la que disfrutó Félix hasta 1953.', 'Manuel Valdivia Ureña (Martos, 12 de noviembre de 1928 - Valencia, 29 de abril de 2014)\u200b fue un ingeniero agrónomo, matemático, catedrático universitario y académico español.\u200b Biografía Manuel Valdivia se graduó como ingeniero agrónomo en la Escuela Técnica Superior de Ingenieros Agrónomos de Madrid en 1958.']","Maite Martín Valdivia consiguió la diplomatura en Informática por la Universidad de Granada en 1990. Más tarde, en 1992, obtuvo la licenciatura en Informática en la misma universidad, realizando más tarde su tesis doctoral en la Universidad de Málaga.","María Teresa (ó Maite) Martín Valdivia (Jaén) es doctora en informática. Desde 1995 trabaja en la Universidad de Jaén como profesora del área de Lenguajes y Sistemas Informáticos del Departamento de Informática. Desde 2019 es catedrática de universidad. Forma parte del equipo de investigación SINAI (Sistemas Inteligentes de Acceso a la Información) desde su creación en 2001.​ Su área de especialización es el Procesamiento del Lenguaje Natural, y en la actualidad investiga dentro de los temas de análisis de opiniones y emociones, minería de textos, aprendizaje automático y búsqueda y recuperación de información en biomedicina. Biografía Se diplomó (1990) y licenció (1992) en Informática en la Universidad de Granada. Realizó su tesis doctoral en Informática en la Universidad de Málaga Desde 2007 es miembro del Consejo Asesor de la Sociedad Española para el Procesamiento del Lenguaje Natural (SEPLN), en cuya Junta Directiva fue tesorera desde 2007 hasta 2019.​​ Fue directora del Secretariado de Investigación de la Universidad de Jaén del 27 de noviembre de 2017 al 29 de abril de 2019."
3,Dame un resumen de la Leyenda del Lagarto de la Malena,"['Maeztu aprecia y comenta los versos manriqueños con cariño en su discurso de ingreso en la Real Academia Española, defendiendo y elogiando las Coplas. A lo largo de su discurso, Maeztu habla del tema de la brevedad de la vida y su presencia en la poesía lírica castellana. Presenta a Manrique como un hombre plenamente influyente y un ejemplo de sobriedad y sencillez literarias\u200b Azorín intenta retratar el espíritu de Manrique: «Jorge Manrique... ¿Cómo era Jorge Manrique?', 'Obras Historietas Gañán el Bestiajo para Alakrán Cómics Group Lagarto lagarto (1998) Conjuras y otras burradas (1998) Tartessos para Editorial Almuzara La ruta del estaño (2005) (guion de Santiago Girón) (ISBN 84-96416-64-X) La espada de Crisaor (2006) (guion de Santiago Girón) (ISBN 84-88586-68-X) Odisea en Iberia (2007) (ISBN 84-96710-69-6) El pasado atlante (2008) (ISBN 978-84-92573-08-0) Otros Iconomias sumergidas (1994) (Barzelona Còmic) 6 postdatas a un tiempo (1996) (guion de José Miguel Pallarés) (Barzelona Còmic) El Capitán Tronado (1998) (El Boletín: La Colla) El Capitán Trueno.', 'Salobreña (Granada), Alhulia, col. Mirto Academia. ISBN 978-84-121241-9-4. Menéndez Pelayo, Marcelino (2021). Contestación al discurso de ingreso de Benito Pérez Galdós en la Real Academia Española (Edición y estudio previo de Antonio Chicharro con reproducción del manuscrito del autor. Esdrújula, col. Académica. ISBN 978-84-122931-4-2.', '303-339. Morales Lomas, Francisco. «La trayectoria vital y creadora de José Jurado de la Parra», Elucidario, n.º 4. Jaén, 2007, pp. 315-318.', 'Jorge Manrique es una ráfaga que lleva nuestro espíritu allá, hada una lontananza ideal». Nos presenta a un Manrique «redivivo» que permanece aún hoy a nuestro lado.\u200b Jorge Manrique es el poeta predilecto de Antonio Machado: «Entre los poetas míos / tiene Manrique un altar», dice en su poema Glosa.\u200b Machado fue glosador de Manrique y en varios de sus poemas se aprecia claramente la inspiración manriqueña.']","Aunque existen varias versiones, la más aceptada es la siguiente: ""En el barrio de la magdalena había un temible lagarto que atacaba a todas las personas que pasaban por allí a por agua, pues Jaén es muy rica en agua. Los ciudadanos ya estaban hartos y pidieron al rey que enviase a alguien a combatir contra el lagarto. Un preso que estaba condenado se ofreció a cambio de que le liberasen. Pidió la piel de una oveja, pólvora, panes y un caballo. Fue hacía el raudal y empezó a tirarle los panes al enorme lagarto. llegó a una calle sin salida y le tiro la oveja con la pólvora dentro. El lagarto se la tragó. Al cabo de unos minutos explotó y el preso retomó su libertad.""","Según el mito, cuya primera referencia escrita data de 1628, en una cueva junto a la fuente de la Magdalena apareció un lagarto de grandes dimensiones (Gran Sierpe o Dragón), que atemorizaba a la gente y (dependiendo de la versión) se comía a quien iba a por agua o a las ovejas de los alrededores. Los vecinos de la Magdalena, asustados, no se atrevían a salir al manantial, por lo que buscaron una solución al problema del lagarto. En este punto, la leyenda se diversifica, habiendo tres versiones distintas de la muerte del reptil: El preso y los panes Un preso condenado a muerte solicitó su libertad a cambio de matar al lagarto. Tal era la desesperación de los vecinos que se le concedió la oportunidad de intentarlo. Para ello, solicitó un caballo, un costal de panes calientes y un saco con pólvora. Por la noche, el preso se presentó junto a la cueva y fue dejando una hilera de panes. El animal se despertó y se los fue comiendo tras el preso, que continuaba lanzando panes mientras huía a caballo. Al llegar a la plaza de San Ildefonso, en lugar de un pan le lanzó el saco de pólvora, que el animal devoró del mismo modo y, acto seguido, explotó."
4,¿Cuando sale la procesión del Abuelo?,"['Durante la procesión se le canta y reza, y en todas las casas se detiene, momento en el cual las familias aprovechan para ofrecer dulces y los típicos garbanzos torraos, de ahí que se le conozca entre los paisanos como la Procesión de los Garbanzos.\u200b Finalizando la procesión, los más jóvenes portan la talla y emprenden una carrera cuesta arriba con la misma a hombros, a gran ritmo.', 'Las procesiones congregan a un gran público en torno al casco antiguo de la localidad por donde tienen el recorrido las distintas hermandades. Un total de trece cofradías y veinte pasos realizan sus respectivos recorridos haciendo estación de penitencia durante cada día de la Semana de Pasión tosiriana.', 'Esta procesión general se convierte en uno de los hechos más característicos de la Semana Santa ubetense. El punto de salida es la Plaza Vázquez de Molina donde minutos antes al comienzo de la procesión ya se agolpan penitentes de distintas cofradías y los distintos tronos ofreciendo una mezcla de colores, sentimientos, tradición, devoción y arte.', 'En este momento, la Banda de Cabecera se dispondrá para colocarse al comienzo de la procesión, en la esquina de las calles Zabala y Sagasta, y en donde se espera la entrada de la primera marcha que iniará la procesión de ese año; es sin lugar a dudas uno de los momentos más aplaudidos. A partir de aquí habrá todo un recorrido continuo entre marchas, y marchas de percusión; en donde no faltarán dedicatorias emotivas, como por ejemplo a titulares de otras cofradías o compañeros de otras bandas de cabecera.', 'En la mañana del día 15, se realiza una colorista procesión en honor de san Isidro, que va escoltado por una gran cantidad de vehículos agrícolas, carrozas, estas últimas decoradas con multitud de elementos típicos del folclore y de la zona (flores, farolillos, antiguas herramientas utilizadas para las labores del campo, platos, etc,...), caballistas y gente ataviada con trajes típicos.']","La procesión de ""El Abuelo"" sale a las calles el Viernes Santo, puesto que es una marcha que representa a Jesucristo llevando la cruz.","La marcha fue compuesta expresamente para Nuestro Padre Jesús Nazareno, conocido popularmente como \""El Abuelo\"", perteneciente a la Antigua, Insigne y Real Cofradía de Nuestro Padre Jesús Nazareno y María Santísima de los Dolores de Jaén. Esta especial dedicación de la marcha a esta talla, que goza de una gran devoción, quedó reflejado cuando el autor decidió incluir parte del Himno a Jaén en la propia marcha. En otras provincias como en Málaga es muy común que se toque en honor a Nuestro Padre Jesús Nazareno, así ocurre en Almogía, donde se toca en honor al sagrado titular de la Hermandad de Culto y Procesión de Nuestro Padre Jesús Nazareno, conocido también como \""El Nuestro Padre\"". Igualmente ocurre en Alhaurín el Grande, donde la Banda de Música de la Real Hermandad de Nuestro Padre Jesús Nazareno la toca en honor a \""Nuestro Padre Jesús\"", mientras los portadores de su trono de procesión lo depositan en el suelo y cantan alrededor del mismo el Himno a Nuestro Padre Jesús Nazareno, letra compuesta por Loli Romero. Composición Siendo Emilio Cebrián Ruiz director de la Banda Municipal de Jaén desde 1932 al haber ganado el concurso oposición celebrado al quedar vacante la plaza, el fabricano del paso de Nuestro Padre Jesús Nazareno de Jaén, D. Antonio Delgado, le pidió que compusiera una marcha procesional para el Señor, pues hasta ese momento durante la procesión tan sólo se interpretaban las marchas \""Pobre Carmen\"" y \""España llora\"". El Viernes Santo de 1934, durante el trascurso de la procesión, el maestro Emilio Cebrián Ruiz abandonó momentáneamente su condición de director de la Banda Municipal para portar el paso de Nuestro Padre Jesús desde el “Cantón de la Ropa Vieja” al “Campillejo de Santiago”."
5,¿Qué lleva el ochío?,"['Notas', 'Notas', 'Notas', 'En esta faceta.', 'Es una imagen de tamaño natural con manos entrelazadas en actitud orante y suplicante, presenta la cabeza inclinada hacia la izquierda con la mirada baja, con un marcado gesto de dolor y belleza. La cara es ovalada con la boca entreabierta en gesto de suspiro con la barbilla tersa, los ojos hinchados y las cejas con forma de “S” para trasmitir pena. Está peinada con raya central y rodete en la nuca recogiendo el pelo que deja ver los pabellones auditivos.']","El ochío está hecho con pan de aceite de oliva virgen extra, pimentón y anís. Es un plato tradicional de Úbeda, Jaén.","El ochío​ —a veces también escrito hochío—​ es un producto de panadería tradicional típico de Ubeda en la provincia de Jaén aunque se puede encontrar en otras ciudades de Andalucía; especialmente de la comarca de la Loma, aunque también en la comarca metropolitana de Jaén pero aquí elaborado de otra manera. Consiste en un pan de aceite de oliva virgen extra, pimentón y anís. El nombre le viene dado por ser la octava parte de la masa de un pan."
6,¿En qué equipos ha jugado Imanol Alguacil?,"['Imanol Alguacil Barrenetxea (Orio, 4 de julio de 1971) es un exfutbolista y entrenador español que actualmente dirige al primer equipo de la Real Sociedad. Fue conocido futbolísticamente como Imanol.\u200b Jugó en el puesto de lateral derecho en la Real Sociedad y Villarreal CF a lo largo de la década de 1990. Con estos dos equipos disputó un total de 121 partidos en la Primera División de España a lo largo de 9 temporadas.', 'Con estos dos equipos disputó un total de 121 partidos en la Primera División de España a lo largo de 9 temporadas. Trayectoria como jugador Imanol Alguacil nació en 1971 en la localidad guipuzcoana de Orio. Imanol destacó como un lateral derecho de gran proyección ofensiva, lo que le permitía jugar también en el centro del campo. Fue un jugador habitual en la Real Sociedad a principios de los años 1990, pero nunca acabó de consolidarse del todo en el equipo y finalmente su carrera fue a menos.', 'Español (Temporada 1953/54) 2.ª División: 0-3 al FC Barcelona ""B"" (Temporada 2013/14) 2.ª División B: 1-6 al Pvo. Almería (Temporada 1995/1996) 3.ª División: 2-6 al Atlético Algecireño (Temporada 1966/67) 3.ª Federación: 0-6 al CD Huracán Melilla (Temporada 2022/23) Mayor goleada encajada como local 1.ª División: 2-4 frente al Real Madrid C.F.', 'Vías pecuarias: cañada de fuente alta, cordel de la moraleda y vereda del pozuelo. Autobuses Ruta Jaén - Cambil operada por Mágina Sur & Bayona.\u200b Deportes Cambil tiene el equipo de fútbol U. D. Cambil Alhabar que juega en el Grupo I de Segunda Andaluza Senior en el campo de fútbol La Vegueta de césped artificial. En cuanto a las pruebas deportivas de atletismo cabe reseñar la carrera ""El Desafío Urbano San Blas"", que se organiza desde 2011.', 'Clubes y estadísticas Como jugador Como entrenador Actualizado de acuerdo al último partido dirigido el 23 de febrero de 2025. Fuente: Transfermarkt - Ceroacero. Resumen por competiciones Actualizado de acuerdo al último partido dirigido el 23 de febrero de 2025. Trivia Durante sus temporadas en la Real Sociedad la afición realista adoptó la costumbre de jalear las acciones de Imanol Alguacil cantando el estribillo de la canción Imanol del grupo de rock Platero y Tú. Palmarés Campeonatos nacionales']","Durante su etapa como jugador, Imanol Alguacil ha jugado en la Real Sociedad, en el Villarreal, en el Real Jaén, en el Cartagonova y en el Burgos.","Imanol Alguacil Barrenetxea (Orio, 4 de julio de 1971) es un exfutbolista y entrenador español que actualmente dirige al primer equipo de la Real Sociedad. Fue conocido futbolísticamente como Imanol.​ Jugó en el puesto de lateral derecho en la Real Sociedad y Villarreal CF a lo largo de la década de 1990. Con estos dos equipos disputó un total de 121 partidos en la Primera División de España a lo largo de 9 temporadas. Trayectoria como jugador Imanol Alguacil nació en 1971 en la localidad guipuzcoana de Orio. Imanol destacó como un lateral derecho de gran proyección ofensiva, lo que le permitía jugar también en el centro del campo. Fue un jugador habitual en la Real Sociedad a principios de los años 1990, pero nunca acabó de consolidarse del todo en el equipo y finalmente su carrera fue a menos. Fue integrante de la plantilla del Villarreal CF, que debutó en Primera división en la temporada 1998-99, y acabó jugando en varios equipos en Segunda y Segunda B antes de retirarse."
7,¿En qué categoría juega el equipo de fútbol de Torredonjimeno?,"['El Torredonjimeno Club de Fútbol fue un club de fútbol español de la ciudad de Torredonjimeno en Jaén. Fue fundado en 1940 y desapareció en 2009, año en que se funda la Unión Deportiva Ciudad de Torredonjimeno para sustituir al desaparecido club. Historia El Torredonjimeno Club de Fútbol fue fundado en 1940.', 'La Unión Deportiva Ciudad de Torredonjimeno es un club de fútbol de la ciudad de Torredonjimeno, (Jaén) que en la actualidad compite en el Grupo IX de la Tercera División de España. Historia Fundación y primeros años La UDCT nació en 2009 para sustituir al histórico Torredonjimeno C. F., que había desaparecido ese mismo año debido a las deudas que arrastraba.', 'Club Deportivo Torreperogil es un equipo de fútbol español, localizado en Torreperogil, Andalucía.\u200b Fundado en 1975 y refundado en 2008, actualmente milita en Tercera División RFEF. Disputa los partidos como local en el Estadio Abdón Martínez Fariñas, con una capacidad de 3.000 espectadores.\u200b Historia Hubo varios equipos antes que Torreperogil, como fueron el UD Perogilense, AD Torres y Sporting de Torreperogil.', 'Cabe decir que esta nueva unión deportiva tiene como principales objetivos la formación y competición de la cantera local, la U. D. Ciudad de Torredonjimeno posee un equipo filial que milita en las categorías provinciales. En el año 2012 se crea el otro representante futbolístico sénior de la localidad, el CD Tosiria Otro representante del deporte en esta localidad es el Patín Bar Cachorro F.S que actualmente milita en la 1.ª división provincial de fútbol sala.', 'Historia El Torredonjimeno Club de Fútbol fue fundado en 1940. Curtido en las categorías regionales, a finales de los 90 se acomoda en Tercera División, consiguiendo en el año 2002 la que hasta ahora es su mayor gesta en lo deportivo, el ascenso a Segunda División B. La temporada 2007-2008 descendió de Tercera División por impagos.']",El Unión Deportiva Ciudad de Torredonjimeno compite actualmente en el grupo nueve de la Tercera División.,"La Unión Deportiva Ciudad de Torredonjimeno es un club de fútbol de la ciudad de Torredonjimeno, (Jaén) que en la actualidad compite en el Grupo IX de la Tercera División de España. Historia Fundación y primeros años La UDCT nació en 2009 para sustituir al histórico Torredonjimeno C. F., que había desaparecido ese mismo año debido a las deudas que arrastraba."
8,¿Cómo se llama el estadio del equipo de fútbol sala de Jaén?,"['Cómo este último, el resto de equipos y aficionados jiennenses al fútbol cuentan con los campos de fútbol de césped artificial «Sebastián Barajas» con capacidad para 2500 espectadores, el de la Universidad de Jaén y el campo de fútbol «Manu del Moral» en el polideportivo «Las Fuentezuelas».\u200b El fútbol sala siempre ha tenido gran tradición en la ciudad, que actualmente cuenta con dos equipos, el Jaén Fútbol Sala, que milita en la división de honor de la Liga Nacional de fútbol sala,\u200b y el Club Deportivo Jaén, que milita en el grupo 8 de la Primera Nacional ""A"".', 'La principal cadena de la provincia de Jaén, Siete TV Jaén, cubre toda la región, además de la cadenas comarcales Diez TV Las Villas, emitida desde Villacarrillo, y 9LaLoma, emitida desde Úbeda. Deportes La villa cuenta con varias instalaciones deportivas: Un campo de fútbol sala y baloncesto, perteneciente al Colegio Público Padre Manjón. Un campo de fútbol siete con césped artificial, de uso público. Circuito de radiocontrol para carreras de coches en miniatura, ubicado en el antiguo campo de fútbol 11.', 'Este equipo militaba en Primera Nacional ""A"" y juega sus partidos como local en el Pabellón Polideportivo La Salobreja. El 3 de noviembre de 2009 el Real Jaén rompe de forma unilateral el acuerdo con el Jaén Fútbol Sala, al considerar que el acuerdo de este último con un patrocinador, incumplía el acuerdo de mantener el nombre de Real Jaén FS.\u200b En estos momentos el equipo de fútbol sala se llama Jaén Paraíso Interior FS y no mantiene vínculos con el Real Jaén CF.', 'El Real Jaén Club de Fútbol, S. A. D. es un club de fútbol español de la ciudad de Jaén (Andalucía). Fue fundado en 1929 como Sociedad Olímpica Jiennense hasta que en 1947 cambió su denominación a Real Jaén CF. Milita actualmente en el Grupo 9 de la Tercera Federación y juega sus partidos en el Estadio de la Victoria con capacidad para 12 569 espectadores.', 'ESTRIBILLO Verde y blanca la bandera, que el viento hace ondear. Sólo tenemos un grito: ¡Atleti Mancha Real! Equipación Estadio El terreno de juego en el que el Atlético Mancha Real disputa los partidos como local es el Estadio Polideportivo Municipal de La Juventud, más conocido como La Juventud. Este estadio tiene capacidad para 1.500 espectadores y el terreno de juego es de césped artificial. Este estadio está compartido con el otro equipo de la localidad, la Asociación Deportiva Mancha Real (A.D.']",El estadio del Jaén Fútbol Sala es el Olivo Arena.,"El Palacio de Deportes Olivo Arena , conocido simplemente como Olivo Arena es un pabellón de la ciudad de Jaén (España). En él juega sus partidos de Primera División de fútbol sala el Jaén Paraíso Interior y también se albergan grandes eventos.​ Historia El pabellón se inaugura en 2021 y se convierte en la nueva casa del Jaén Paraíso Interior para disputar sus partidos de Primera División de fútbol sala.​ Puede albergar distintos tipos de eventos."
9,¿Cuando se prevé que acabarán las obras del CETEDEX?,"['Notas', 'Notas', 'Notas', 'Bibliografía García-Bellido, M. P. «Célticos y túrdulos en la Beturia según sus documentos monetales», en Celtas y túrdulos: la Beturia, Cuadernos emeritenses 9, Mérida, 255-292. 1995. VV. AA. Celtas y túrdulos: la Beturia, Museo Nacional de Arte Romano de Mérida, Mérida, 1995.', 'de 158 folios en pergamino: Archivo-Bibl. S. Capilla)']","Se prevé que para diciembre de 2026 se alcance una capacidad inicial, mientras que para finales de 2029 sería la capacidad completa.","El Centro Tecnológico de Desarrollo y Experimentación o CETEDEX es un centro dependiente del Ministerio de Defensa, y adscrito al Instituto Nacional de Técnica Aeroespacial (INTA) anunciado en diciembre de 2022​ y cuya construcción se proyecta entre 2023 y 2029 en Jaén. El centro contará con un campus principal de 8 hectáreas y un campo de pruebas avanzado de 600 hectáreas​ en el Parque Empresarial Nuevo Jaén. Obras La construcción del campus principal se compone de dos fases: Vallado. Licitación prevista para abril de 2023 y ejecución entre julio y diciembre de 2023. Urbanización y edificaciones. Licitación prevista para septiembre de 2023 y ejecución de las obras durante 24 meses, a partir de julio de 2024. Por su parte, la recepción de la capacidad inicial se espera para diciembre de 2026 y la capacidad completa para finales de 2029​. El proyecto aún no tiene concreción alguna en planos o presupuesto."
